Date,Open,High,Low,Close,Volume,trade_value
2016/11/23,120.13,122.28,120.13,121.38,73425,4854.7
2016/11/24,121.34,121.83,120.94,121.3,73980,4162.2
2016/11/25,121.34,121.85,121.07,121.38,63190,3461.8
2016/11/28,121.45,122.28,121.3,121.83,70516,3599.0
2016/11/29,121.9,122.73,121.86,121.91,99011,5582.9
2016/11/30,121.92,122.5,121.84,122.01,97749,6349.7
2016/12/1,122.01,122.55,121.05,121.05,91502,6142.1
2016/12/2,120.73,121.16,120.28,120.36,71224,4833.2
2016/12/5,120.59,121.29,119.99,120.65,77428,5337.0
2016/12/6,121.12,121.75,120.68,120.77,93924,5528.9
2016/12/7,120.65,121.29,120.35,120.9,94222,5584.6
2016/12/8,121.51,121.92,120.57,121.17,120541,6477.0
2016/12/9,120.92,121.1,120.01,120.33,111783,7258.4
2016/12/12,120.56,120.87,119.3,119.7,77599,4450.1
2016/12/13,119.69,120.17,119.14,119.44,79782,4678.1
2016/12/14,119.74,120.26,118.93,119.17,104557,5682.6
2016/12/15,119.11,119.37,118.33,118.99,93823,5295.3
2016/12/16,119.06,119.15,117.68,118.11,115290,7982.0
2016/12/19,117.88,118.18,116.6,116.98,83777,5022.4
2016/12/20,116.79,117.38,116.46,117.36,91871,5471.6
2016/12/21,117.31,117.66,116.8,116.8,75273,4470.2
2016/12/22,116.76,117.3,116.28,116.68,84671,4403.0
2016/12/23,116.61,116.62,116.0,116.22,68965,4049.9
2016/12/26,116.22,116.8,116.07,116.49,59797,2996.7
2016/12/27,116.76,117.1,116.11,116.48,80682,3778.8
2016/12/28,116.48,117.09,116.26,116.78,68997,3670.3
2016/12/29,116.91,117.65,116.63,116.92,70700,4027.6
2016/12/30,117.3,118.45,117.16,117.83,55335,3220.2
2017/1/3,118.1,118.52,117.66,118.47,58301,2751.9
2017/1/4,118.59,120.32,118.59,119.97,81569,5016.3
2017/1/5,120.28,120.97,119.72,120.93,77570,4389.6
2017/1/6,120.88,120.88,119.14,119.81,79729,4692.1
2017/1/9,119.28,119.32,118.53,118.87,78908,4294.3
2017/1/10,118.6,119.36,118.36,118.99,83546,4928.2
2017/1/11,119.28,119.82,118.73,119.2,83489,4823.9
2017/1/12,119.18,120.32,118.96,119.32,69000,3907.3
2017/1/13,119.6,120.19,119.23,119.75,75612,4280.2
2017/1/16,119.73,120.03,119.32,119.61,58606,3248.1
2017/1/17,119.65,120.4,119.39,119.95,56543,3323.3
2017/1/18,119.82,120.34,119.45,119.61,105846,8211.2
2017/1/19,119.65,119.75,118.82,118.89,90479,6971.8
2017/1/20,118.82,119.23,118.44,118.81,68917,4685.5
2017/1/23,119.29,119.59,119.01,119.13,63860,4030.8
2017/1/24,119.16,120.34,119.1,119.2,67650,4347.2
2017/2/2,118.21,118.21,116.92,116.92,121180,9128.0
2017/2/3,116.95,117.54,116.8,117.17,95958,5566.2
2017/2/6,117.39,118.46,117.27,118.16,96724,5070.3
2017/2/7,118.03,118.35,117.59,118.2,93275,5154.5
2017/2/8,118.2,118.66,117.45,118.01,101901,5556.1
2017/2/9,118.01,118.57,117.6,118.14,94037,5330.6
2017/2/10,118.54,119.13,118.28,118.59,106522,6972.8
2017/2/13,118.93,119.12,118.1,118.63,95222,5239.4
2017/2/14,118.69,119.32,118.13,118.96,85351,5623.2
2017/2/15,119.0,119.96,118.76,119.35,170813,11764.8
2017/2/16,119.75,120.37,119.41,119.41,136642,10398.5
2017/2/17,119.65,120.46,119.49,119.66,133145,8794.6
2017/2/18,120.18,120.59,119.8,120.42,74118,4007.4
2017/2/20,120.82,121.2,119.86,120.23,119958,8249.0
2017/2/21,120.31,120.62,119.71,120.02,100891,6026.3
2017/2/22,120.36,120.63,119.85,119.86,112397,6498.4
2017/2/23,119.86,120.81,119.85,120.74,120887,5692.3
2017/2/24,120.58,121.43,120.24,120.86,140455,8449.6
2017/3/1,120.66,121.12,120.34,120.54,100431,5356.0
2017/3/2,120.61,121.22,120.56,120.7,99139,4822.0
2017/3/3,120.72,121.64,120.18,121.21,92414,5560.4
2017/3/6,121.28,121.57,120.71,121.22,78665,4707.0
2017/3/7,121.21,121.81,121.11,121.53,69545,4336.2
2017/3/8,121.82,122.17,121.41,121.68,70628,3729.4
2017/3/9,121.92,121.97,121.11,121.49,98692,5397.9
2017/3/10,121.49,121.83,120.85,121.35,124689,5798.0
2017/3/13,121.63,121.99,121.33,121.72,97677,5834.3
2017/3/14,121.74,122.51,121.52,122.04,143752,6571.8
2017/3/15,122.05,122.5,121.65,121.72,148159,6212.2
2017/3/16,122.07,122.72,121.96,122.39,113829,5913.1
2017/3/17,122.42,123.12,122.37,123.12,99703,5474.3
2017/3/20,123.17,124.49,122.9,124.24,151062,6322.0
2017/3/21,124.34,124.96,123.97,124.62,149022,6828.4
2017/3/22,124.23,124.25,123.34,123.62,184046,7064.0
