Date,Open,High,Low,Close,Volume,vol_deg_change,vol_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,log_rtn,kalman_log_rtn1
2019-05-23,90.77,92.04,85.83,87.74,30852029109,0.0,0.819,0.49,0.2,0.31,-0.0002,0.0139,-0.056,-0.034,-0.03417,0.00203
2019-05-24,87.74,89.53,84.62,88.61,20833229525,0.0,0.653,0.18,0.19,0.64,0.0,0.0202,-0.0362,0.0099,0.00987,0.0028
2019-05-25,88.67,103.77,88.01,100.5,83298516125,1.0,0.989,0.75,0.21,0.04,0.0007,0.1573,-0.0075,0.1252,0.12591,0.01551
2019-05-26,100.5,105.07,98.87,102.66,51980298950,0.0,0.941,0.35,0.39,0.26,0.0,0.0445,-0.0164,0.0213,0.02126,0.01614
2019-05-27,102.66,114.0,97.5,111.0,65843191144,1.0,0.958,0.51,0.18,0.31,0.0,0.1048,-0.0516,0.0781,0.07811,0.02312
2019-05-28,111.03,121.89,109.94,116.3,87368489847,1.0,0.989,0.44,0.47,0.09,0.0003,0.0933,-0.0099,0.0464,0.04664,0.02587
2019-05-29,116.41,118.22,111.08,114.81,39990225403,0.0,0.895,0.22,0.25,0.52,0.0009,0.0154,-0.0469,-0.0138,-0.01289,0.02137
2019-05-30,114.87,118.33,108.0,115.06,35948909796,0.0,0.871,0.02,0.32,0.67,0.0005,0.0297,-0.0617,0.0017,0.00218,0.01919
2019-05-31,115.03,120.35,102.4,107.78,70861882450,1.0,0.97,0.4,0.3,0.3,-0.0003,0.0452,-0.1163,-0.0651,-0.06536,0.01004
2019-06-01,107.78,114.93,104.55,114.6,48734172799,0.0,0.931,0.66,0.03,0.31,0.0,0.0642,-0.0304,0.0614,0.06136,0.01551
2019-06-02,114.65,116.28,110.51,112.35,31875984041,0.0,0.819,0.4,0.28,0.32,0.0004,0.0141,-0.0368,-0.0203,-0.01983,0.01172
2019-06-03,112.34,116.48,111.25,114.39,23419223299,0.0,0.706,0.39,0.4,0.21,-0.0001,0.0362,-0.0098,0.0181,0.01799,0.01238
2019-06-04,114.44,116.2,105.01,105.99,44161078458,1.0,0.918,0.76,0.16,0.09,0.0004,0.0153,-0.086,-0.0767,-0.07627,0.00333
2019-06-05,105.94,106.8,98.13,102.2,67395114145,1.0,0.963,0.43,0.1,0.47,-0.0005,0.0081,-0.0766,-0.0359,-0.03641,-0.0005
2019-06-06,102.2,105.21,100.11,103.66,37989444483,0.0,0.874,0.29,0.3,0.41,0.0,0.029,-0.0207,0.0142,0.01418,0.0009
2019-06-07,103.61,112.07,101.0,111.19,48890521588,1.0,0.93,0.68,0.08,0.24,-0.0005,0.0785,-0.0255,0.0706,0.07012,0.00775
2019-06-08,111.25,121.0,109.53,116.71,61979248983,1.0,0.948,0.48,0.37,0.15,0.0005,0.084,-0.0156,0.0479,0.04845,0.01198
2019-06-09,116.74,119.7,113.5,118.01,45462175369,0.0,0.917,0.2,0.27,0.52,0.0003,0.025,-0.0281,0.0108,0.01108,0.01189
2019-06-10,118.01,118.94,111.02,114.66,42524636749,0.0,0.903,0.42,0.12,0.46,0.0,0.0078,-0.0611,-0.0288,-0.0288,0.00766
2019-06-11,114.66,130.12,112.54,129.15,79321122328,1.0,0.978,0.82,0.06,0.12,0.0,0.1265,-0.0187,0.119,0.119,0.0196
2019-06-12,129.19,138.56,124.85,135.69,83603497354,1.0,0.987,0.47,0.21,0.32,0.0003,0.07,-0.0342,0.0491,0.0494,0.02301
2019-06-13,135.79,143.19,129.86,135.32,101597292864,1.0,0.995,0.04,0.56,0.41,0.0007,0.0531,-0.0447,-0.0035,-0.00273,0.02006
2019-06-14,135.32,136.52,127.92,130.55,47700730523,0.0,0.918,0.55,0.14,0.31,0.0,0.0088,-0.0562,-0.0359,-0.03589,0.01389
2019-06-15,130.55,133.03,125.22,132.0,46027262793,0.0,0.913,0.19,0.13,0.68,0.0,0.0188,-0.0417,0.011,0.01105,0.01358
2019-06-16,132.03,139.5,132.01,137.54,38990837623,0.0,0.867,0.74,0.26,0.0,0.0002,0.055,-0.0002,0.0409,0.04111,0.01658
2019-06-17,137.51,138.2,133.15,136.45,39256010493,1.0,0.869,0.21,0.14,0.65,-0.0002,0.005,-0.0322,-0.0077,-0.00796,0.01391
2019-06-18,136.42,136.82,131.53,133.8,30248550097,0.0,0.774,0.5,0.08,0.43,-0.0002,0.0029,-0.0365,-0.0194,-0.01961,0.01035
2019-06-19,133.8,136.84,128.0,135.22,40099583149,1.0,0.875,0.16,0.18,0.66,0.0,0.0225,-0.0443,0.0106,0.01056,0.01037
2019-06-20,135.25,139.5,133.5,136.43,37385088301,0.0,0.85,0.2,0.51,0.29,0.0002,0.0309,-0.013,0.0087,0.00891,0.01022
2019-06-21,136.41,136.75,133.0,135.46,23681961409,0.0,0.688,0.25,0.09,0.66,-0.0001,0.0025,-0.0253,-0.007,-0.00714,0.00842
